City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,stonewall,50.13,-97.33,10.0,65,90,20.8,CA,1581791667
311,vitim,59.45,112.56,6.67,93,34,6.55,RU,1581791667
312,katherine,-14.47,132.27,78.8,69,40,8.05,AU,1581791668
313,hamilton,39.18,-84.53,39.99,44,40,10.29,US,1581791621
314,fengzhen,40.44,113.15,6.15,54,15,9.95,CN,1581791668
315,puerto escondido,15.85,-97.07,80.6,74,40,5.82,MX,1581791448
316,oranjestad,12.52,-70.03,86.0,58,20,26.4,AW,1581791577
317,ketchikan,55.34,-131.65,41.0,93,90,5.82,US,1581791445
318,kloulklubed,7.04,134.26,78.8,83,75,8.05,PW,1581791442
319,noyabrsk,63.2,75.45,8.92,95,99,8.88,RU,1581791670
320,adrian,41.9,-84.04,27.0,53,90,9.17,US,1581791667
321,qarayeri,40.79,46.31,35.6,51,75,6.93,AZ,1581791671
322,mendi,-6.18,143.65,53.47,96,64,2.35,PG,1581791671
323,birobidzhan,48.8,132.95,-5.12,86,0,2.08,RU,1581791671
324,te anau,-45.42,167.72,52.88,97,100,4.72,NZ,1581791671
325,ambunti,-4.24,142.84,73.65,98,100,2.04,PG,1581791671
326,poum,-20.23,164.02,80.8,78,99,24.99,NC,1581791671
327,sayat,38.78,63.88,33.8,86,33,4.7,TM,1581791672
328,austin,30.27,-97.74,62.6,71,90,9.17,US,1581791532
329,linxia,35.6,103.21,15.71,40,96,1.19,CN,1581791672
330,gamba,-2.65,10.0,80.31,86,95,5.88,GA,1581791446
331,aykhal,66.0,111.5,5.0,84,100,4.47,RU,1581791586
332,honiara,-9.43,159.95,78.8,88,75,4.7,SB,1581791659
333,iquitos,-3.75,-73.25,77.0,88,75,3.36,PE,1581791673
334,taoudenni,22.68,-3.98,83.1,11,80,10.6,ML,1581791673
335,kysyl-syr,63.9,122.76,-4.13,98,98,4.16,RU,1581791673
336,tiksi,71.69,128.87,-0.9,82,100,13.76,RU,1581791673
337,san patricio,19.22,-104.7,84.2,62,75,11.41,MX,1581791674
338,andijon,40.78,72.34,41.0,48,40,23.04,UZ,1581791674
339,mangan,27.52,88.53,41.52,85,91,1.14,IN,1581791674
340,bouar,5.93,15.6,79.02,21,7,6.49,CF,1581791674
